productcode,product,avail_today
162,Whole Milk (Half Gallon),100
277,Cream Half Gallon (64 oz.),100
SKU396,Best Friends Ice Cream (32 oz.),100
ICE,Ice Service,200
442,Soft Serve Ice Cream Mix (Vanilla),100
470,WCC Half and Half (128 oz),50
509-1,Blueberry Cow Yogurt (32 oz),50
SKU501,Golden Delicious Apples (Sub product 5),300
SKU510,Chili Peppers (Sub product 14),50
SKU511,Cherry Tomatoes (Sub product 15),100
SKU518,Celery (4 stalks),100
SKU519,Swiss Chard (1bunch),20
SKU3,Zucchini,100
471,Gelato,50
SKU567,Fruit Apples,100
SKU1242,TEST - Half Gallon of Chocolate Milk,200
SKU1243,Changed product name from -test product,50
SKU124455,Plum,100
SKU12,Meyer Lemon,40
SKU1253,Tofu,100
SKU1321,Test of default availability,10
SKU6,Hand-Packed Butter (CLONE),10
SKU7,Sunrise Papaya,10
SKU18,test_sas1,1
SKU104984,Goat Milk Tomme Cheese,30
SKU58957,Fresh Coconut Pieces,20
SKU106174,Sweet Corn,100
SKU17528,Organic Mixed Braising Greens,25
SKU94958,Heart of Palm,15
SKU68012,Raw Hawaiian Honey,100
SKU104530,Organic Baby Red Russian Kale,15
SKU46209,Makrut Lime Leaves,15
SKU104046,Broccoli Microgreen,20
SKU104729,Mixed Variety Microgreen,20
SKU104037,Sunflower Microgreen,30
SKU103321,Sweet Speckled Pea Microgreen,20
SKU97496,Green Okra,15
SKU106062,Yukon Gold Potato,40
SKU104026,Organic Purple Daikon,10
SKU98572,Organic Sage,25
SKU102232,Organic Baby Salad Greens,50
SKU95934,Broccoli Sprouts,100
SKU95609,Clover Sprouts - Flat,15
SKU95612,Crispy Mix Sprouts,15
SKU104370,Mini Butternut Squash,20
SKU94234,Sugarcane Sticks,10
SKU55852,Hawaiian Tangerine,100
SKU104535,Organic Baby Tatsoi,15
SKU94595,Organic Cherry Tomato,50
SKU94649,Organic Momotaro Tomato,30
SKU104918,Vanilla Caramel,20
SKU105102,Wai'anae Gold 'Aina Bar Blondie,15
SKU10246,Organic Sweet Basil,20
SKU10297,Okinawan Sweet Potato,30
SKU10410,Pork Head,10
SKU10514,Organic Green Beans,100
SKU10519,Bacopa,15
SKU10555,Roselle,20
SKU10563,Energizer Pressed Juice,30
SKU10564,Roots Pressed Juice,15
SKU10574,NatasaProduct,15